Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Aaron Brink,Aaron,Brink,,"6' 3""",6,3,190.5,205 lbs.,205,92.98636,--,0,Orthodox,25,21,0,,M,Light Heavyweight
Aaron Ely,Aaron,Ely,The Cyborg,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,--,0,n/a,5,2,0,,M,Bantamweight
Aaron Lanfranco,Aaron,Lanfranco,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,5,1,0,,M,Lightweight
Aaron Miller,Aaron,Miller,Blood Spiller,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,--,0,n/a,14,10,0,,M,Featherweight
Aaron Phillips,Aaron,Phillips,The Model,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,"70.0""",70,Southpaw,8,2,0,,M,Bantamweight
Aaron Riley,Aaron,Riley,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"69.0""",69,Southpaw,29,14,1,,M,Lightweight
Aaron Rosa,Aaron,Rosa,,"6' 4""",6,4,193.04,205 lbs.,205,92.98636,"78.0""",78,Orthodox,17,5,0,,M,Light Heavyweight
Aaron Simpson,Aaron,Simpson,A-Train,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"73.0""",73,Orthodox,11,4,0,,M,Welterweight
Aaron Trujillo,Aaron,Trujillo,,"5' 5""",5,5,165.1,125 lbs.,125,56.699,--,0,n/a,0,1,0,,M,Flyweight
Aaron Wetherspoon,Aaron,Wetherspoon,Slam,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,8,4,0,,M,Welterweight
Aaron Wilkinson,Aaron,Wilkinson,The Daywalker,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,7,5,0,,M,Lightweight
Abdul Razak Alhassan,Abdul Razak,Alhassan,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,4,0,0,,M,Welterweight
Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,--,0,Orthodox,16,4,0,,M,Light Heavyweight
Abel Cullum,Abel,Cullum,The Silent Assassin,"5' 7""",5,7,170.18,139 lbs.,139,63.049288,--,0,Orthodox,18,6,0,,M,Featherweight
Abel Trujillo,Abel,Trujillo,Killa,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"70.0""",70,Orthodox,15,5,0,,M,Lightweight
Abner Lloveras,Abner,Lloveras,Skullman,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"71.0""",71,n/a,19,8,1,,M,Lightweight
Abongo Humphrey,Abongo,Humphrey,,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,--,0,Orthodox,7,3,0,,M,Light Heavyweight
Abram Torres,Abram,Torres,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,3,3,0,,M,Welterweight
Achmed Labasanov,Achmed,Labasanov,,"6' 3""",6,3,190.5,215 lbs.,215,97.52228,--,0,Orthodox,8,5,0,,M,Heavyweight
Adam Antolin,Adam,Antolin,,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,--,0,n/a,3,3,0,,M,Bantamweight
Adam Cella,Adam,Cella,El Naturel,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"78.0""",78,n/a,4,2,0,,M,Welterweight
Adam Khaliev,Adam,Khaliev,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Orthodox,6,0,0,,M,Welterweight
Adam Lynn,Adam,Lynn,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,Orthodox,17,8,0,,M,Lightweight
