FIGHT ORDER,KEY,ROUND FORMAT,EVENT_TYPE,EVENT_NAME,EVENT_YEAR,EVENT_MONTH,EVENT_DAY,LOCATION COUNTRY,LOCATION CITY,VENUE,ATTENDANCE,MAIN FIGHT,MID,WEIGHT CLASS,REF,METHOD,METHOD_D,ROUND,FINISH_ROUND_MIN,FINISH_ROUND_SEC,FINISH_ROUND_INSECONDS,TOTAL_INSECONDS,FIGHTER NAME,FIGHER NO,OUTCOME,FIGHTER ID,STR,TD,SUB,PASS,NICK,ASSOCIATION,LOCALITY,COUNTRY,BIRTH_YEAR,AGE_AT_FIGHT,HEIGHT_CM,WEIGHT_KG,REACH_INCH,REACH_INCH1,STANCE,WIN_AT_FIGHT,NOTWIN_AT_FIGHT,TOTAL_AT_FIGHT,WINRATIO_AT_FIGHT,STRAVG_AT_FIGHT,TDAVG_AT_FIGHT,SUBAVG_AT_FIGHT,PASSAVG_AT_FIGHT,AGE_DIFF,HEIGHT_DIFF,WEIGHT_DIFF,REACH_DIFF,EXP_DIFF,STRAVG_AT_FIGHT_DIFF,TDAVG_AT_FIGHT_DIFF,SUBAVG_AT_FIGHT_DIFF,PASSAVG_AT_FIGHT_DIFF,WINRATIO_DIFF,STANCE_DIFF,REACH_DIFF1
3569,UFC Fight Night: Cowboy vs Cowboy133525Donald CerroneAlex Oliveira,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,YES,13,Welterweight,Mario Yamasaki,Submission,Triangle Choke,1,2,33,153,153,Donald Cerrone,Fighter 1,win,15105,4,1,1,2,Cowboy,Jackson-Wink MMA,"Broomfield, Colorado",United States,1983,33,185.42,77.11064,73,73,Orthodox,15,4,19,0.789473684,43.36842105,0.684210526,0.368421053,1.052631579,5,5.08,0,-3,15,22.11842105,-1.315789474,-0.381578947,-1.197368421,0.039473684,Same Stance,-3
3569,UFC Fight Night: Cowboy vs Cowboy133525Donald CerroneAlex Oliveira,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,YES,13,Welterweight,Mario Yamasaki,Submission,Triangle Choke,1,2,33,153,153,Alex Oliveira,Fighter 2,loss,110143,14,0,0,0,Cowboy,Tata Fight Team,"Tres Rios, Rio de Janeiro",Brazil,1988,28,180.34,77.11064,76,76,Orthodox,3,1,4,0.75,21.25,2,0.75,2.25,-5,-5.08,0,3,-15,-22.11842105,1.315789474,0.381578947,1.197368421,-0.039473684,Same Stance,3
3568,UFC Fight Night: Cowboy vs Cowboy123524Derek BrunsonRoan Carneiro,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,12,Middleweight,Keith Peterson,KO,Punches,1,2,38,158,158,Derek Brunson,Fighter 1,win,68494,23,0,0,0,,Jackson's Mixed Martial Arts,"Wilmington, North Carolina",United States,1984,32,185.42,83.91452,77,77,Southpaw,5,1,6,0.833333333,21.66666667,1.833333333,0.5,2.333333333,-6,5.08,0,3,0,8.166666667,-0.833333333,-1,-1,0.333333333,Different Stance,3
3568,UFC Fight Night: Cowboy vs Cowboy123524Derek BrunsonRoan Carneiro,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,12,Middleweight,Keith Peterson,KO,Punches,1,2,38,158,158,Roan Carneiro,Fighter 2,loss,2886,0,0,0,0,Jucao,American Top Team Atlanta,Rio de Janeiro,Brazil,1978,38,180.34,83.91452,74,74,Orthodox,3,3,6,0.5,13.5,2.666666667,1.5,3.333333333,6,-5.08,0,-3,0,-8.166666667,0.833333333,1,1,-0.333333333,Different Stance,-3
3567,UFC Fight Night: Cowboy vs Cowboy113523Cody GarbrandtAugusto Mendes,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,11,Catch Weight,Mario Yamasaki,KO,Punches,1,4,18,258,258,Cody Garbrandt,Fighter 1,win,50381,11,0,0,0,No Love,Strong Style Fight Team,"Uhrichsville, Ohio",United States,1991,25,172.72,61.23492,65,65,Orthodox,2,0,2,1,56.5,2,0,1.5,-8,5.08,0,0,2,56.5,2,0,1.5,1,Same Stance,0
3567,UFC Fight Night: Cowboy vs Cowboy113523Cody GarbrandtAugusto Mendes,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,11,Catch Weight,Mario Yamasaki,KO,Punches,1,4,18,258,258,Augusto Mendes,Fighter 2,loss,160663,11,0,0,0,Tanquinho,Soul Fighters BJJ,"Rio de Janeiro, Rio de Janeiro",Brazil,1983,33,167.64,61.23492,65,65,Orthodox,0,0,0,0,0,0,0,0,8,-5.08,0,0,-2,-56.5,-2,0,-1.5,-1,Same Stance,0
3566,UFC Fight Night: Cowboy vs Cowboy103522Dennis BermudezTatsuya Kawajiri,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,10,Featherweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,Dennis Bermudez,Fighter 1,win,58065,61,4,1,2,The Menace,Long Island MMA,"Saugerties, New York",United States,1986,30,167.64,65.77084,66,66,Orthodox,7,3,10,0.7,46.4,2.9,1.1,2.6,-8,-2.54,0,-3,6,21.15,-0.6,0.6,-0.65,-0.05,Same Stance,-3
3566,UFC Fight Night: Cowboy vs Cowboy103522Dennis BermudezTatsuya Kawajiri,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,10,Featherweight,Keith Peterson,Decision,Unanimous,3,5,0,300,900,Tatsuya Kawajiri,Fighter 2,loss,1326,12,1,0,1,Crusher,T-Blood,"Inashiki, Ibaraki",Japan,1978,38,170.18,65.77084,69,69,Orthodox,3,1,4,0.75,25.25,3.5,0.5,3.25,8,2.54,0,3,-6,-21.15,0.6,-0.6,0.65,0.05,Same Stance,3
3565,UFC Fight Night: Cowboy vs Cowboy93521Chris CamozziJoe Riggs,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,9,Middleweight,Mario Yamasaki,TKO,Knees,1,0,26,26,26,Chris Camozzi,Fighter 1,win,17224,11,0,0,0,,factoryX Muay Thai,"Englewood, Colorado",United States,1986,30,187.96,83.91452,76,76,Orthodox,7,7,14,0.5,48,0.214285714,0.428571429,0.285714286,-4,5.08,0,6,3,33,-0.967532468,0.246753247,-0.896103896,0.045454545,Different Stance,6
3565,UFC Fight Night: Cowboy vs Cowboy93521Chris CamozziJoe Riggs,MULTI-ROUND,UFC Fight Night,UFC Fight Night 83 - Cerrone vs. Oliveira,2016,2,21,America,"Pittsburgh, Pennsylvania, U.S.",Consol Energy Center,7330,NO,9,Middleweight,Mario Yamasaki,TKO,Knees,1,0,26,26,26,Joe Riggs,Fighter 2,loss,2765,0,0,0,0,Diesel,MMA Lab,"Phoenix, Arizona",United States,1982,34,182.88,83.91452,70,70,Southpaw,5,6,11,0.454545455,15,1.181818182,0.181818182,1.181818182,4,-5.08,0,-6,-3,-33,0.967532468,-0.246753247,0.896103896,-0.045454545,Different Stance,-6
